Time function
slug_injection
89
0	0
0.04166670	0
0.12500000	0
0.20833330	0
0.25000000	0
20.00000000 0
20.20800000	0
20.25000000	0
22.25000000	0
22.45800000	0
22.50000000 0
27.50000000 0
27.70800000	0
27.75000000	0
29.75000000	0
29.95800000	0
30.00000000 0
32.00000000 0
32.20800000	0
32.25000000	0
35.25000000	0
35.45800000	0
35.50000000 0
37.50000000 0
37.70800000	0
37.75000000	0
39.75000000	0
39.95800000	0
40.00000000 0
43.00000000 0
43.20800000	0
43.25000000	0
46.25000000	0
46.45800000	0
46.50000000 0
51.50000000 0
51.70800000	0
51.75000000	0
58.75000000	0
58.95800000	0
59.00000000 0
62.00000000 0
62.20800000	0
62.25000000	0
67.25000000	0
67.30555550	0
67.38885550	20.082
67.43399430	0
67.51729430	0
74.26729430	17.103
74.47562429	0
74.51762430	0
81.26762430	0
81.47562430	17.103
81.51762430	0
88.26762430	17.103
88.47562429	0
88.51762430	0
95.26762430	0
95.47562430	17.103
95.51762430	0
102.2676243	17.103
102.4756242	0
102.5176243	0
109.2676243	0
109.4756243	17.103
109.5176243	0
116.2676243	17.103
116.4756242	0
116.5176243	0
123.2676243	0
123.4756243	17.103
123.5176243	0
130.2676243	17.103
130.4756243	0
130.5176243	0
137.2676243	0
137.4756243	17.103
137.5176243	0
144.2676243	17.103
144.4756243	0
144.5176243	0
151.2676243	0
151.4756243	17.103
151.5176243	0
158.2676243	17.103
158.4756243	0
158.5176243	0
276.2676243	0
