8.0114,5.2495,9.4971,20.404,40.472,12.023,7.821,11.558,18.03,46.267,15.284,9.0248,16.43,27.417,47.661,9.5619,6.1333,8.2133,19.01,45.021,10.023,7.7333,9.9543,14.903,47.592
6.5638,4.621,6.5714,13.909,22.781,7.0705,4.2933,6.8457,7.5695,20.118,6.9143,4.7314,7.4476,10.469,20.659,6.7276,3.4667,6.499,12.899,22.747,6.88,4.32,6.541,9.1124,23.28
7.2,4.5448,8.0571,14.057,20.27,6.6895,4.179,7.3981,8.2133,19.741,6.8914,4.5829,7.4171,10.663,24.739,7.0552,4.56,7.299,12.442,22.248,7.2648,4.061,8.0686,9.9924,21.215
7.3295,5.2076,7.8248,13.691,20.834,6.7962,4.1029,7.3752,8.9067,22.183,6.1562,4.4952,6.7086,10.476,26.488,6.701,4.4419,7.4514,12.11,25.139,7.2114,5.0362,8.4533,10.023,25.154
6.9371,5.6914,7.5124,14.198,24.613,7.04,4.2248,6.9371,7.4514,24.251,6.6971,5.1276,6.301,10.442,26.461,6.6781,4.4495,7.4705,11.996,28.686,7.4095,5.52,7.6419,9.8629,27.703
12.815,11.501,15.794,32.83,61.208,17.619,11.573,16.83,23.257,65.737,20.35,14.59,22.613,41.307,71.699,13.402,9.939,16.491,30.792,66.83,14.396,12.088,16.823,24.53,67.928
7.0324,5.5505,7.581,14.255,22.728,6.5638,4.5943,5.8552,8.2248,18.347,6.7581,5.0743,7.5124,10.145,18.194,6.3733,4.7962,7.1429,11.036,20.975,6.8648,5.6876,7.5657,9.0667,22.286
13.882,11.901,19.924,37.71,44.503,16.366,12.415,19.379,25.581,49.512,22.282,13.764,24.678,38.59,56.392,14.16,11.47,19.192,29.863,46.13,14.48,12.621,19.112,21.802,45.493
12.91,12.145,20.038,38.754,38.827,16.994,12.88,21.577,25.882,47.65,21.063,14.004,26.499,39.055,51.116,14.88,11.196,21.139,29.745,43.996,14.69,13.943,20.606,24.225,46.019
14.24,12.88,23.691,40.008,38.457,17.589,12.629,23.451,24.587,47.158,19.486,14.43,27.356,39.619,48.526,12.69,11.653,21.535,31.215,41.52,13.768,14.808,22.686,25.013,42.922
9.821,10.335,16.975,28.922,27.79,10.229,8.0267,14.758,18.042,30.091,12.469,9.9848,17.531,27.044,32.625,9.4324,8.4838,16.229,20.91,26.362,9.8438,9.9124,15.981,17.429,27.436
8.9067,9.4133,16.945,28.648,25.196,10.362,10.564,15.562,17.745,30.667,13.181,11.166,16.453,24.735,31.406,10.773,9.2686,16.171,20.404,30.693,9.9048,10.777,16.61,18.072,29.646
10.027,10.96,15.653,27.063,26.404,12.046,10.442,14.095,16.979,31.752,13.204,9.8095,17.676,25.291,36,9.7029,9.2762,14.632,18.975,27.642,10.324,10.766,16.152,18.37,29.025
