,,,,Kx,Kx,Kx,Kx,Kx,Kx,Kx,Kx,Kx,Kx,Kx,Kx,Kx,Kx,Kx,Kx,Kx,Kx,Kx,Kx,Kx,Kx,Kx,Kx,Kx,Kx,Kx,Kx,Kx,Kx,Kx,Kx,Kx,Kx,Kx,Kx,Kx,Kx,Kx,Kx,Kx,Kx,Kx,Kx
column,row,X,Y,Layer 1,Layer 2,Layer 3,Layer 4,Layer 5,Layer 6,Layer 7,Layer 8,Layer 9,Layer 10,Layer 11,Layer 12,Layer 13,Layer 14,Layer 15,Layer 16,Layer 17,Layer 18,Layer 19,Layer 20,Layer 21,Layer 22,Layer 23,Layer 24,Layer 25,Layer 26,Layer 27,Layer 28,Layer 29,Layer 30,Layer 31,Layer 32,Layer 33,Layer 34,Layer 35,Layer 36,Layer 37,Layer 38,Layer 39,Layer 40,Layer 41,Layer 42,Layer 43,Layer 44
13,1,32.59,56.24,10.3912,9.9324,9.6366,10.1656,10.2677,8.8876,9.8201,10.4673,11.2417,9.8918,10.0541,9.9299,10.2229,11.8572,11.6857,11.3628,11.5041,23.279,21.3346,23.3563,25.4439,23.6365,23.6425,23.3934,26.5164,10.0963,10.0963,10.0963,10.0963,33.2685,33.7461,35.8512,35.8512,36.5177,41.7738,44.6379,45.4113,49.4486,49.1342,45.0748,48.7454,49.1953,53.0779,52.3099
14,1,33.45,56.24,10.3912,9.9335,9.639,10.1694,9.9068,8.8991,9.7966,10.6543,11.2503,9.8779,10.0692,9.9496,10.2434,11.869,11.6937,11.3735,11.5142,23.2854,21.3454,23.3665,25.4556,23.4646,23.6583,23.408,26.5298,10.0963,10.0963,10.0963,10.0963,33.2685,33.7461,35.8512,35.8512,36.5177,41.7738,44.6379,45.4113,49.4486,49.1342,45.0748,48.7454,49.1953,53.0779,52.3099
15,1,34.195,56.24,10.3914,9.9347,9.9505,10.1726,9.9123,8.9089,9.8065,10.6656,11.2588,9.8881,10.0831,9.9679,10.2623,11.8805,11.7016,11.3834,11.5235,23.2913,21.3547,23.3757,25.4662,23.4776,23.6719,23.4209,26.5408,10.0963,10.0963,10.0963,10.0963,33.2685,33.7461,35.8512,35.8512,36.5177,41.7738,44.6379,45.4113,49.4486,49.1342,45.0748,48.7454,49.1953,53.0779,52.3099
16,1,34.84,56.24,10.3914,9.9356,9.9523,10.1755,9.9169,8.9173,9.8153,10.6756,11.2666,9.8011,10.0442,9.9844,10.2795,11.8911,11.7088,11.3926,11.5317,23.2967,21.3631,23.3837,25.4761,23.489,23.6839,23.4322,26.5512,10.0963,10.0963,10.0963,10.0963,33.2685,33.7461,35.8512,35.8512,36.5177,41.7738,44.6379,45.4113,49.4486,49.1342,45.0748,48.7454,49.1953,53.0779,52.3099
17,1,35.4,56.24,10.3916,9.9363,9.9537,10.1778,9.921,8.9243,9.8228,10.6845,11.2739,9.8092,10.0553,9.9994,10.2949,12.3187,12.1914,11.4008,11.5389,23.302,21.3705,23.3907,25.4849,23.4987,24.4413,23.442,26.5603,10.0963,10.0963,10.0963,10.0963,33.2685,33.7461,35.8512,35.8512,36.5177,41.7738,44.6379,45.4113,49.4486,49.1342,45.0748,48.7454,49.1953,53.0779,52.3099
18,1,35.885,56.24,10.3916,9.937,9.9551,10.1799,9.9246,8.9305,9.8293,10.6926,11.2604,9.7628,10.0652,10.0125,9.9764,12.3295,12.1979,11.4081,11.5455,23.3063,21.3769,23.3972,25.4926,23.5074,24.4503,23.4506,26.5677,10.0963,10.0963,10.0963,10.0963,33.7461,33.7461,35.8512,35.8512,36.5177,41.7738,44.6379,45.4113,49.4486,49.1342,45.0748,48.7454,49.1953,53.0779,52.3099
19,1,36.305,56.24,10.3916,9.9377,9.9562,10.1818,9.9276,8.9356,9.835,10.6998,11.2671,9.7686,10.0743,10.0243,9.987,12.3391,12.2035,11.4147,11.5511,23.3106,21.3823,23.4026,25.4996,23.5149,24.4582,23.4576,26.5744,10.0963,10.0963,10.0963,10.0963,33.7461,33.7461,35.8512,35.8512,36.5177,41.7738,44.6379,45.4113,49.4486,49.1342,45.0748,48.7454,49.1953,53.0779,52.3099
20,1,36.67,56.24,10.3919,9.9381,9.9571,10.1834,9.9303,8.9401,9.8397,10.8219,11.2729,9.7738,10.0822,10.0349,9.9962,12.3479,12.2085,11.4205,11.5562,23.3144,21.3872,23.4074,25.5055,23.5214,24.4655,23.4641,26.5805,10.0963,10.0963,10.0963,10.0963,33.7461,33.7461,35.8512,35.8512,36.5177,41.7738,44.6379,45.4113,49.4486,49.1342,45.0748,48.7454,49.1953,53.0779,52.3099
21,1,36.99,56.24,10.3919,9.9386,9.958,10.1848,9.9326,8.944,9.844,10.8264,11.2783,9.7817,10.0894,10.0442,10.0042,12.3559,12.2133,11.4257,11.5607,23.3176,21.3911,23.4117,25.5114,23.5274,24.4711,23.4695,26.586,10.0963,10.0963,10.0963,10.0963,33.7461,33.7461,35.8512,35.8512,36.5177,41.7738,44.6379,45.4113,49.4486,49.1342,45.0748,48.7454,49.1953,53.0779,52.3099
22,1,37.27,56.24,10.3919,9.9388,9.9587,10.1862,9.9347,8.9473,9.8477,10.8304,11.283,9.7857,10.0956,10.0523,10.0114,12.3627,12.2175,11.4302,11.5647,23.3203,21.3951,23.4155,25.5308,23.5323,24.4767,23.4744,26.5903,10.0963,10.0963,10.0963,10.0963,33.7461,33.7461,35.8512,35.8512,36.5177,41.7738,44.6379,45.4113,49.4486,49.1342,45.0748,48.7454,49.1953,53.0779,52.3099
23,1,37.515,56.24,10.3919,9.9393,9.9594,10.1872,9.9363,8.9502,9.8511,10.8339,11.2871,9.7891,10.1015,10.0597,10.0178,12.369,12.1309,11.4344,11.5681,23.323,21.398,23.4188,25.5349,23.5366,24.4813,23.4781,26.5946,10.0963,10.0963,10.0963,10.0963,33.7461,33.7461,35.8512,35.8512,36.5177,41.7738,44.6379,45.4113,49.4486,49.1342,45.0748,48.7454,49.1953,53.0779,52.3099
24,1,37.73,56.24,10.3919,9.9395,9.9599,10.1881,9.9379,8.9527,9.8538,10.8369,11.291,9.7923,10.2043,10.0662,10.0236,12.3747,12.134,11.4381,11.5713,23.3256,21.401,23.4214,25.539,23.5409,24.4858,23.4819,26.5977,10.0963,10.0963,10.0963,10.0963,33.7461,33.7461,35.8512,35.8512,36.5177,41.7738,44.6379,45.4113,49.4486,49.1342,45.0748,48.7454,49.1953,53.0779,52.3099
25,1,37.93,56.24,10.3919,9.9397,9.9606,10.1891,9.9393,8.955,9.8565,10.8399,11.2944,9.795,10.2083,10.0722,10.0287,12.3801,12.1368,11.4413,11.5743,23.3278,21.4034,23.4241,25.5425,23.5442,24.4892,23.4857,26.6014,10.0963,10.0963,10.0963,10.0963,33.7461,33.7461,35.8512,35.8512,36.5177,41.7738,44.6379,45.4113,49.4486,49.1342,45.0748,48.7454,49.1953,53.0779,52.3099
26,1,38.13,56.24,10.3921,9.9399,9.961,10.19,9.9409,8.9572,9.859,10.8429,11.2981,9.7979,10.2125,10.0782,10.034,12.3855,12.1399,11.4447,11.5769,23.3299,21.4064,23.4274,25.5466,23.548,24.4931,23.489,26.6044,10.0963,10.0963,10.0963,10.0963,33.7461,33.7461,35.8512,35.8512,36.5177,41.7738,44.6379,45.4113,49.4486,49.1342,45.0748,48.7454,49.1953,53.0779,52.3099
27,1,38.33,56.24,10.3921,9.9402,9.9615,10.1909,9.9422,8.9595,9.8617,10.8459,11.3017,9.8008,10.2165,10.0843,10.0393,12.3909,12.1429,11.4484,11.5799,23.3321,21.4089,23.4301,25.5502,23.5518,24.497,23.4922,26.6081,10.0963,10.0963,10.0963,10.0963,33.7461,33.7461,35.8512,35.8512,36.5177,41.7738,44.6379,45.4113,49.4486,49.1342,45.0748,48.7454,49.1953,53.0779,52.3099
